Region,"local authority: 
district / unitary",Employed Individuals,Remote Workers,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach","Motorcycle, scooter or moped",Car / Van,Car / Van passengers,Taxi,Bicycle,On foot,Other method of travel,Year
North East,County Durham,227894,20652,323,1865,13732,1038,146644,17362,1401,2205,21490,1182,2011
North East,Darlington,49014,4180,33,828,3380,191,28981,3337,403,1151,6284,246,2011
North East,Gateshead,91877,6383,4270,705,13909,364,50236,5830,453,1314,7966,447,2011
North East,Hartlepool,37767,2473,33,469,2556,175,22863,3157,673,706,4305,357,2011
North East,Middlesbrough,54547,3337,44,698,4868,195,31155,4639,902,1375,6769,565,2011
North East,Newcastle upon Tyne,119335,8430,6304,1381,21728,345,54165,6706,1037,3223,15302,714,2011
North East,North Tyneside,96026,6997,8523,1385,8606,471,52543,5951,748,2345,7559,898,2011
North East,Northumberland,146901,17894,659,1852,7593,682,90566,9283,523,2074,14632,1143,2011
North East,Redcar and Cleveland,56354,4034,43,1175,3314,255,36281,3976,388,875,5335,678,2011
North East,South Tyneside,64622,3875,5681,1090,6194,341,35011,3774,303,1396,5749,1208,2011
North East,Stockton-on-Tees,87122,6376,97,1115,5023,410,57793,6014,593,1693,7101,907,2011
North East,Sunderland,121511,7705,2762,894,15151,520,70607,9356,740,1588,11310,878,2011
North West,Allerdale,46076,6025,22,374,1730,228,27790,3415,106,694,5496,196,2011
North West,Barrow-in-Furness,31257,2009,33,515,1593,542,16727,2277,426,1620,5302,213,2011
North West,Blackburn with Darwen,60523,4930,42,956,3240,315,36700,4916,1097,592,7460,275,2011
North West,Blackpool,61419,6173,40,512,5174,551,32816,4578,565,1916,8705,389,2011
North West,Bolton,123367,10086,274,4384,8200,792,76681,8189,1537,1261,11435,528,2011
North West,Burnley,38133,2941,20,238,3170,212,23316,2991,316,397,4375,157,2011
North West,Bury,88036,7689,4234,523,5671,455,55361,4819,690,1176,7094,324,2011
North West,Carlisle,53874,5464,30,304,3691,294,30673,3377,174,1390,8245,232,2011
North West,Cheshire East,181136,23337,254,4971,3267,1169,116931,8993,504,4666,16282,762,2011
North West,Cheshire West and Chester,160138,17178,257,3114,5477,1001,103898,8767,783,4200,14669,794,2011
North West,Chorley,53702,5827,34,1261,1575,375,36378,2941,135,761,4227,188,2011
North West,Copeland,32891,2782,18,519,1532,272,20877,3086,152,554,2958,141,2011
North West,Eden,27461,5771,20,206,578,86,15360,1311,67,326,3601,135,2011
North West,Fylde,34510,4055,32,416,1339,235,22153,1690,139,959,3325,167,2011
North West,Halton,57577,3696,38,1081,3787,351,37640,3988,321,1191,5221,263,2011
North West,Hyndburn,35993,2860,9,325,2247,239,23076,2576,360,398,3751,152,2011
North West,Knowsley,61691,3531,162,3448,6806,275,34717,4682,1195,962,5569,344,2011
North West,Lancaster,62832,6644,53,1252,3707,533,34942,3810,341,2497,8706,347,2011
North West,Liverpool,196630,12180,1081,9707,38027,780,91570,11587,2574,3970,23991,1163,2011
North West,Manchester,213705,15288,2841,5663,46652,841,91871,9828,1810,8426,29347,1138,2011
North West,Oldham,96300,7349,121,1115,10269,489,57766,7097,971,993,9622,508,2011
North West,Pendle,39324,3370,19,287,2092,185,24451,2868,353,498,5019,182,2011
North West,Preston,64180,5038,44,865,7148,418,35956,4324,345,1449,8299,294,2011
North West,Ribble Valley,28713,4070,26,304,593,160,19098,1303,47,380,2635,97,2011
